"_id","id","nombre","marca","origen","porcentajeCacao","tipo","relleno"
"""67f753b2dbb6032850da8c40""","44","Chocolate Especial 44","Montaña Negra","Venezuela","74","blanco","pimienta rosa"
"""67f753b2dbb6032850da8c41""","43","Chocolate Especial 43","Cacao Real","Colombia","73","con leche","menta"
"""67f753b2dbb6032850da8c42""","45","Chocolate Especial 45","Cacao Supremo","Ecuador","75","oscuro","ninguno"
"""67f753b2dbb6032850da8c43""","46","Chocolate Especial 46","Delicias de Cacao","México","76","con leche","almendras"
"""67f753b2dbb6032850da8c44""","47","Chocolate Especial 47","DulceVida","Suiza","77","blanco","naranja"
"""67f753b2dbb6032850da8c45""","48","Chocolate Especial 48","Cítricos y Cacao","España","78","oscuro","caramelo"
"""67f753b2dbb6032850da8c46""","49","Chocolate Especial 49","SweetCacao","Bélgica","79","con leche","fresa"
"""67f753b2dbb6032850da8c47""","50","Chocolate Especial 50","Exótico","Brasil","80","blanco","licor"
"""67f753b2dbb6032850da8c48""","51","Chocolate Especial 51","ChocoAmor","Perú","81","oscuro","avellanas"
"""67f753b2dbb6032850da8c49""","52","Chocolate Especial 52","Cacao Real","Colombia","82","con leche","menta"
"""67f753b2dbb6032850da8c4a""","41","Chocolate Especial 41","Exótico","Brasil","71","blanco","licor"
"""67f753b2dbb6032850da8c4b""","55","Chocolate Especial 55","Delicias de Cacao","México","85","con leche","almendras"
"""67f753b2dbb6032850da8c4c""","54","Chocolate Especial 54","Cacao Supremo","Ecuador","84","oscuro","ninguno"
"""67f753b2dbb6032850da8c4d""","56","Chocolate Especial 56","DulceVida","Suiza","86","blanco","naranja"
"""67f753b2dbb6032850da8c4e""","58","Chocolate Especial 58","SweetCacao","Bélgica","88","con leche","fresa"
"""67f753b2dbb6032850da8c4f""","57","Chocolate Especial 57","Cítricos y Cacao","España","87","oscuro","caramelo"
"""67f753b2dbb6032850da8c50""","42","Chocolate Especial 42","ChocoAmor","Perú","72","oscuro","avellanas"
"""67f753b2dbb6032850da8c51""","59","Chocolate Especial 59","Exótico","Brasil","89","blanco","licor"
"""67f753b2dbb6032850da8c52""","40","Chocolate Especial 40","SweetCacao","Bélgica","70","con leche","fresa"
"""67f753b2dbb6032850da8c53""","53","Chocolate Especial 53","Montaña Negra","Venezuela","83","blanco","pimienta rosa"
"""67f753b2dbb6032850da8c54""","38","Chocolate Especial 38","DulceVida","Suiza","68","blanco","naranja"
"""67f753b2dbb6032850da8c55""","60","Chocolate Especial 60","ChocoAmor","Perú","90","oscuro","avellanas"
"""67f753b2dbb6032850da8c56""","36","Chocolate Especial 36","Cacao Supremo","Ecuador","66","oscuro","ninguno"
"""67f753b2dbb6032850da8c57""","37","Chocolate Especial 37","Delicias de Cacao","México","67","con leche","almendras"
"""67f753b2dbb6032850da8c58""","61","Chocolate Especial 61","Cacao Real","Colombia","91","con leche","menta"
"""67f753b2dbb6032850da8c59""","62","Chocolate Especial 62","Montaña Negra","Venezuela","92","blanco","pimienta rosa"
"""67f753b2dbb6032850da8c5a""","65","Chocolate Especial 65","DulceVida","Suiza","95","blanco","naranja"
"""67f753b2dbb6032850da8c5b""","64","Chocolate Especial 64","Delicias de Cacao","México","94","con leche","almendras"
"""67f753b2dbb6032850da8c5c""","63","Chocolate Especial 63","Cacao Supremo","Ecuador","93","oscuro","ninguno"
"""67f753b2dbb6032850da8c5d""","66","Chocolate Especial 66","Cítricos y Cacao","España","96","oscuro","caramelo"
"""67f753b2dbb6032850da8c5e""","67","Chocolate Especial 67","SweetCacao","Bélgica","97","con leche","fresa"
"""67f753b2dbb6032850da8c5f""","69","Chocolate Especial 69","ChocoAmor","Perú","99","oscuro","avellanas"
"""67f753b2dbb6032850da8c60""","68","Chocolate Especial 68","Exótico","Brasil","98","blanco","licor"
"""67f753b2dbb6032850da8c61""","71","Chocolate Especial 71","Montaña Negra","Venezuela","30","blanco","pimienta rosa"
"""67f753b2dbb6032850da8c62""","78","Chocolate Especial 78","ChocoAmor","Perú","37","oscuro","avellanas"
"""67f753b2dbb6032850da8c63""","70","Chocolate Especial 70","Cacao Real","Colombia","100","con leche","menta"
"""67f753b2dbb6032850da8c64""","79","Chocolate Especial 79","Cacao Real","Colombia","38","con leche","menta"
"""67f753b2dbb6032850da8c65""","81","Chocolate Especial 81","Cacao Supremo","Ecuador","40","oscuro","ninguno"
"""67f753b2dbb6032850da8c66""","72","Chocolate Especial 72","Cacao Supremo","Ecuador","31","oscuro","ninguno"
"""67f753b2dbb6032850da8c67""","80","Chocolate Especial 80","Montaña Negra","Venezuela","39","blanco","pimienta rosa"
"""67f753b2dbb6032850da8c68""","82","Chocolate Especial 82","Delicias de Cacao","México","41","con leche","almendras"
"""67f753b2dbb6032850da8c69""","83","Chocolate Especial 83","DulceVida","Suiza","42","blanco","naranja"
"""67f753b2dbb6032850da8c6a""","85","Chocolate Especial 85","SweetCacao","Bélgica","44","con leche","fresa"
"""67f753b2dbb6032850da8c6b""","73","Chocolate Especial 73","Delicias de Cacao","México","32","con leche","almendras"
"""67f753b2dbb6032850da8c6c""","84","Chocolate Especial 84","Cítricos y Cacao","España","43","oscuro","caramelo"
"""67f753b2dbb6032850da8c6d""","74","Chocolate Especial 74","DulceVida","Suiza","33","blanco","naranja"
"""67f753b2dbb6032850da8c6e""","75","Chocolate Especial 75","Cítricos y Cacao","España","34","oscuro","caramelo"
"""67f753b2dbb6032850da8c6f""","76","Chocolate Especial 76","SweetCacao","Bélgica","35","con leche","fresa"
"""67f753b2dbb6032850da8c70""","77","Chocolate Especial 77","Exótico","Brasil","36","blanco","licor"
